Key	English	Bengali	Chinese(Simplified)	Chinese(Traditional)	Czech	Danish	Dutch	Finnish	French	German	Greek	Hindi	Hungarian	Indonesian	Italian	Japanese	Korean	Norwegian	Polish	Portuguese	Romanian	Russian	Slovak	Spanish	Swedish	Tamil	Thai	Turkish
That is the last customer.	That is the last customer.													Itu adalah pelanggan terakhir.														
tut1_l1	Use mouse click to navigate.													Klik untuk berjalan.														
tut1_l2	Before open orders you have to restock ingredients.													Sebelum membuka warung, kau harus restok dulu.														
tut1_l3	Click the place with balloon to restock.													Klik di tempat yang ada tanda piring kosong nya.														
tut2_l1	Good job now we're ready to open order.													Bagus! Sekarang kita siap buka warung.														
tut2_l2	You must have at least \G 5000 to start operational.													Kau harus punya 5000 \G untuk operasional.														
tut2_l3	Now click the open order balloon to start operational.													Klik open order untuk memulai jualan.														
evstore_l1	Close Store?													Tutup Warung?														
evstore_l2	You don't have any stock to sell.													Kau tak punya apapun untuk dijual.														
evstore_l3	To open the restaurant,													Untuk membuka warung kau harus bayar														
evstore_l4	you must pay an operational fee of \G 5000 per day.													biaya operasional sebanyak 5000 \G per hari.														
evstore_l5	You don't have enough money for the operational costs.													Kau tak punya cukup uang untuk bayar operasional.														
evstore_l6	Open Store?													Buka Warung?														
evstore_l7	You can see on the top right													Kau bisa lihat di kanan atas layar ada sebuah gauge														
evstore_l8	there is a gauge that shows how long the day will last.													yang menunjukkan sisa waktu hari ini.														
evstore_l9	Customers will stop coming after the day is over,													Pelanggan akan berhenti datang jika hari berakhir,														
evstore_l10	but you can still serve customers.													tapi kau masih bisa melayani pelanggan.														
evstore_l11	Now wait until a customer come.													Sekarang tunggu sampai pelanggan pertamamu datang.														
evstore_l12	Serve your customer and increase your reputation.													Layani pelanggan dan tingkatkan reputasimu!														
evstore_l13	As you increase your reputation,													Kalau reputasimu meningkat														
evstore_l14	customer interval will increase.													pelanggan akan lebih sering datang.														
ev_d2_l1	New recipes available.													Resep baru tersedia.														
ev_d2_l2	Open recipe or inspect the place to unlock new recipe.													Buka resep atau perika tanda "NEW"<br>untuk membuka resep baru.														
ev_d2_l3	Unlock recipe will increase opening time.													Membuka resep membuatmu bisa <br>membua warung lebih lama.														
unlock_l1	Unlock													Membuka resep														
unlock_l2	recipe will cost													membutuhkan biaya														
unlock_l3	Do you want to unlock?													Kau mau membuka?														
unlock_l4	You don't have enough money.													Uangmu tidak cukup.														
unlock_l5	You unlock													Kau membuka														
unlock_l6	Opening time increased by 10 seconds.													Waktu buka warung meningkat 10 detik.														
unlock_l7	Smoking customers will wait longer.													Sambil sebat, pelanggan perokok<br>akan menunggu lebih lama.														
available	is available.													tersedia.														
can_unlock	You can unlock													Kau bisa membuka														
promo	Promo is ongoing!													Ada promo berlangsung!														
d5_l1	From today you can get stock promo!!													Mulai hari ini kau bisa mendapat promo!														
d5_l2	Items with discount will appear<br>in the list on the right side.													Stock yang mendapat promo<br>akan muncul di sebelah kanan.														
																												
ads	Watch Ad													Tonton Iklan														
reward1	Congratulations! You can open the shop for free.													Selamat! Kamu bisa membuka toko dengan gratis.														
																												
																												
salah_pesan_l1	It looks like you placed the wrong order.													Sepertinya kau salah membuat pesanan.														
salah_pesan_l2	Or the customer who ordered has left.													Atau pelanggan yang pesan sudah pergi.														
salah_pesan_l3	You can reset your order at the sink.													Kau bisa reset pesananmu di wastafel.														
order_done_l1	Good job!													Good job!														
order_done_l2	You successfully delivered your first order.													Kau berhasil mengantarkan pesanan pertamamu.														
order_done_l3	Now let your wife deliver it to the customer.													Sekarang biarkan istrimu<br>yang mengantarkannya ke pelanggan.														
																												
order_done_l5	Just focus on taking orders and cooking.													Kau fokus saja terima pesanan dan memasak.														
order_done_l6	Back to work...													Kembali bekerja...														
f_cook_l1	You can see the items you<br>are carrying on the right side of the screen.													Kau bisa melihat item yang kau bawa<br>di bagian kanan layar.														
f_cook_l2	To track whether you have brought<br>the appropriate utensils and ingredients.													Untuk memastikan apakah kau telah<br>membawa bahan dan alat yang tepat.														
f_cook_l3	You can reset your carrying in the sink.													Kau bisa reset bawaanmu di wastafel.														
out_stock	You've run out of money, and there aren't <br>enough ingredients to prepare any recipes.													Kau kehabisan uang, dan kau tak punya<br>cukup bahan untuk masak.														
cust_p1_l1	Your first customer is arrived.													Pelanggan pertamamu datang.														
cust_p1_l2	Click on the customer to receive order.													Klik pada pelanggan untuk menerima pesanan.														
cust_p1_l3	Quick! dont make the customer pile up queue.													Cepat! Jangan sampai antrian menumpuk.														
cust_p1_l4	A customer leaves the restaurant<br>because there is too much queue.													Seorang pelanggan meninggalkan warung<br>karena antrian terlalu panjang.														
cust_p2_l1	\Item[\V[21]] & \Item[\V[22]] please.													Pesan \\Item[\V[21]] & \\Item[\V[22]].														
cust_p2_l2	\Item[\V[21]] please.													Pesan \Item[\V[21]].														
cust_p2_l3	\Item[\V[22]] please.													Pesan \Item[\V[22]].														
cust_p2_l4	It seems you are out of stock.													Nampaknya kau kehabisan stock.														
first_cust_l1	Congratulations on getting your first customer.													Selamat atas pelanggan pertamamu!														
first_cust_l2	Immediately make the order<br>according to the requested order.													Cepat buat pesanan yang diminta!														
first_cust_l3	If you don't know how to make the order.													Kalau kau tak tahu gimana cara bikin pesanannya.														
first_cust_l4	You can open the recipe to see<br>the tools and ingredients needed.													Kau bisa buka resep untuk lihat <br>alat dan bahan yang diperlukan.														
first_cust_l5	Go make the order!													Cepat buat pesanannya!														
first_cust_l6	The customers will leave if you take too long.													Pelanggan akan pergi jika kau terlalu lama.														
cust_p3_l1	I order \Item[\V[21]] & \Item[\V[22]]													Aku pesan \Item[\V[21]] & \Item[\V[22]]														
cust_p3_l2	I order \Item[\V[21]]													Aku pesan \Item[\V[21]]														
cust_p3_l3	I order \Item[\V[22]]													Aku pesan \Item[\V[22]]														
cust_p3_l4	Order delivered													Pesanan diantar.														
restock	You don't have enough money.													Kau tak punya cukup uang														
debt_l1	I know you need money, and I can help you.<br>But you must pay the installments every sunset.													Aku tahu kau butuh uang, aku bisa bantu.<br>Tapi kau harus bayar cicilan<br>tiap matahari terbenam.														
debt_l2	\>Take the offer?<center><Auto>													\>Terima tawaran?<center><Auto>														
debt_l3	The interest is 10% per day,<br>to be paid along with the installments.													Bunganya 10% per hari,<br>dibayar langsung sama cicilan.														
debt_l4	How much would you like to borrow?													Mau pinjam berapa?														
debt_l5	Do you think you can manage without my help?													Kau pikir bisa melakukannya tanpa bantuanku?														
debt_l6	You can't do anything if you don't have money.													Kau tak bisa melakukan apapun kalau tak punya uang.														
debt_l7	How many days would you like to pay in installments?													Mau dicicil berapa hari?														
debt_l8	Starting today, you must pay \V[105]<br>at the end of each day for \V[103] days.													Per hari ini, kau harus bayar \V[105]<br>saat hari berakhir selama \V[103] hari.														
debt_l9	\>Deal?<center><Auto>													\>Deal?<center><Auto>														
debt_l10	It seems like my business here is done.													Nampaknya urusanku di sini telah selesai														
debt_come	As you ran out of money,<br>suddenly, a mysterious figure appears.													Saat kau kehabisan uang,<br>tiba-tiba seseorang misterius datang.														
day_over	The day is over.													Hari sudah berakhir.														
kecewa_l1	It's a shame that a customer leaves the restaurant.													Sayang sekali pelanggan itu meninggalkan warung.														
kecewa_l2	Customers will leave the restaurant<br>if they wait too long.													Pelanggan akan pergi jika menunggu terlalu lama.														
ffood_l1	Good job!<br>You successfully made your first order.													Good job!<br>Kau berhasil membuat pesanan pertamamu!														
ffood_l2	Now, take that order to the delivery table.													Taruh pesanan itu di meja pengantar.														
lupa_pesanan	You can always check the order list on the left screen.													Kau selalu bisa mengecek pesanan di kiri layar.														
pesan	I order													Pesan														
aku_pesan	I order													Aku pesan														
day_end_l1	Your money is not enough to pay the debt.													Uangmu tidak cukup untuk membayar hutang.														
day_end_l2	You paid an installment of \G \V[111].													Kau membayar hutang sebanyak \V[111] \G.														
day_end_l3	TODAY'S SUMMARY<br>\V[62] Customers .<br>\V[65] Satisfied customers.<br>\V[64] Disappointed customers today													RINGKASAN HARI INI<br>\V[62] Pelanggan .<br>\V[65] Pelanggan puas.<br>\V[64] Pelanggan kecewa.														
day_end_l4	\V[63] Meals served today.<br>You earned \V[67] reputation points today.<br>The customer interval will be \V[44] seconds.<br>\G \V[66] Earned.													\V[63] Makanan disajikan.<br>Kau dapat \V[67] poin reputasi.<br>Pelanggan akan datang tiap \V[44] detik.<br>\V[66] \G Dihasilkan.														
day_end_l5	\G \V[68] Spent.<br>Profit : \G \V[69]<br>\V[51] Days remaining until delivery.<br>You need \G \V[48] more for the delivery. <Auto>													\V[68] \G Dikeluarkan.<br>Keuntungan : \V[69]  \G<br>\V[51] Hari tersisa hingga persalinan.<br>Kau butuh \V[48] \G  lagi untuk biaya persalinan. <Auto>														
day_end_l6	You managed to collect enough money for the birth expenses.													Kau berhasil mengumpulkan uang <br>yang cukup untuk persalinan														
day_end_l7	The baby is coming....!													Bayinya mau lahir!														
day_end_l8	Good Job!													Kerja bagus!														
day_end_l9	You successfully run your shop today.													Kau berhasil menjalankan warungmu.														
day_end_l10	Do a restock and get ready to open the shop again.													Lakukan restock dan bersiap untuk buka lagi.														
day_end_l11	You must earn 1,000,000 \G before 60 days.													Kau harus menghasilkan 1 juta \G sebelum 60 hari.														
day_end_l12	Good luck!													Good luck!														
intro_l1	You are a happily married man,<br>filled with excitement and love.													Kau baru saja menikah,<br>hari ini dipenuhi kebahagiaan dan cinta.\|														
intro_l2	You’ve just tied the knot<br>with the best wife in the world													Kau baru saja mengikat janji suci<br>dengan seorang wanita terbaik di dunia.														
intro_l3	and together, you've invested all your<br>savings into purchasing your dream home.													Bersamaan dengan itu,<br>kau telah menginvestasikan semua tabunganmu<br>untuk membeli rumah impianmu.\|\|														
intro_l4	The future seems bright, and you're ready<br>to start your new life together.													Masa depan nampak cerah,<br>untuk memulai hidup baru bersama.														
intro_l5	But as you arrive at the house<br>you've worked so hard for,													Tapi... Saat kau tiba di rumah<br>yang telah kau perjuangkan.														
intro_l6	something unexpected happens.													Sesuatu tak terduga terjadi.														
intro_l7	The doors are locked,													Pintunya terkunci.														
intro_l8	and a government notice is posted on the gate:<br><Caps>your property has been seized.</Caps>													Ada sebuah pesan ditempel di gerbang:<br><Caps>Bangunan ini disita.</Caps>\|\|														
intro_l9	The developer you trusted has scammed you,													Developer yang kau percaya telah menipumu.														
intro_l10	and now, you are left with nothing<br>but your wife by your side.													Sekarang kau tak punya apapun,<br>selain istrimu di sampingmu.														
intro_l11	You try to reason with the authorities,<br>but it's no use.													Kau mencoba bernegosiasi dengan pihak terkait,<br>tapi tetap sia-sia.														
intro_l12	The house is gone.													Rumah itu sudah tiada.														
intro_l13	All your savings have been poured into this dream,													Seluruh tabunganmu telah terkuras untuk impianmu ini.														
intro_l14	and now, it's been taken away.													Tapi sekarang semua telah lenyap.														
intro_l15	You have nothing left'except<br>the love and support of your wife.													Kau tak punya apa-apa lagi<br>selain kasih sayang dan dukungan dari istrimu.														
intro_l16	To make matters worse, your parents<br>disapproved of your marriage,													Lebih buruknya lagi, orang tuamu tak merestui pernikahanmu.														
intro_l17	and you cannot go back to them.													Jelas kau tak bisa pulang.														
intro_l18	You're stranded, broke, and overwhelmed by despair.													Kau jatuh miskin, dan tenggelam dalam keputusasaan.														
intro_l19	In this moment of hopelessness,<br>you start to consider walking away,													Pada momen penuh keputusasaan itu,<br>kau mulai berpikir untuk menyerah.														
intro_l20	maybe letting your wife return to her family,													Kau ingin membiarkan istrimu kembali ke orang tuanya.														
intro_l21	so she can have a better life than this.													Sehingga dia bisa punya kehidupan yang lebih baik.														
intro_l22	But then, she appears.													Tapi... Kemudian dia muncul.														
intro_l23	With a steaming bowl of instant noodles...													Membawa semangkuk mie instant														
intro_l24	and a cup of coffee...													dan secangkir kopi.														
intro_l25	she sits beside you.													Dia duduk di sebelahmu.														
intro_l26	Her smile remains unwavering,													Senyumnya masih sumringah.														
intro_l27	and she says,<br>'Don't give up. I have some good news...<br>I'm pregnant.'													Dia pun berkata<br>"Jangan menyerah... Aku punya kabar baik.<br>Aku Hamil"\|														
intro_l28	Despite your fears,													Meski merasa takut.														
intro_l29	the news fills you with<br>a new sense of determination.													Kabar itu memberimu semangat baru.														
intro_l30	You can't give up now.													Kau tak bisa menyerah sekarang.														
intro_l31	Her words spark a fire in you.													Kata-katanya membakar tekadmu.														
intro_l32	You may have lost everything else,<br>but you still have each other.													Kau mungkin kehilangan segalanya,<br>tapi kalian tetap saling memiliki.														
intro_l33	Together, you come up with an idea:<br>you'll open a humble little food stall selling <br>your favorite comfort food'instant noodles.													Muncul sebuah ide:<br>Kau akan membuka sebuah warmindo<br>yang menyajikan mie instant favoritmu.\|\|														
intro_l34	In Indonesia, this type of<br>small eatery is known as a 'Warmindo'													Warung kecil sederhana tempat orang bisa makan dan bersantai.														
intro_l35	a casual spot where people gather <br>to enjoy affordable and delicious noodle dishes.													Sebuah tempat santai dimana orang bisa berkumpul<br>menikmati sajian lezat yang terjangkau.														
intro_l36	You decide to name it Warmindo \N[3]													Kau memutuskan untuk memberinya nama Warmindo \N[3]														
intro_l37	Representing both the warmth of<br>the food and the essence of home.													Merepresentasikan hangatnya makanan dan esensi dari rumah.														
intro_l38	With your wife's help, you set up your <br>Warmindo and give it everything you've got.													Dengan bantuan istrimu, kau membuka Warmindo mu<br>dan mengerahkan semua yang kau bisa.														
intro_l39	The road is long and tough,													Perjalanan masih panjang dan terjal.														
intro_l40	but each day brings you closer to your goal: <br>saving enough money for your child's birth.													Tapi tiap hari membawamu lebih dekat dari tujuanmu:<br>Mengumpulkan uang yang cukup untuk biaya pesalinan.														
bad_end_l1	Despite your hard work and dedication,<br>it's just not enough.													Dedikasi dan kerja keras saja tidak cukup.														
bad_end_l2	The bills keep piling up, and the pressure mounts.													Tagihan makin menumpuk.														
bad_end_l3	You're drowning in debt.													Kau pun terlilit hutang.														
bad_end_l4	And then, a loan shark knocks on your door. <br>He's come to collect.													Rentenir pun datang mengetuk pintu rumahmu.														
bad_end_l5	He destroys your Warmindo...													Dia menghancurkan Warmindo mu...														
bad_end_l6	Seizes everything you've worked for,<br>and has you thrown into jail.													Merampas segala yang telah kau perjuangkan,<br>dan melemparkanmu ke dalam penjara.														
bad_end_l7	Alone, you sit in your cold, dark cell, regret and<br>failure weighing heavily on your heart.													Kau duduk sendirian dalam dinginya tembok hotel prodeo.<br>Gelap, sesal dan kegagalan menyelimuti hatimu.														
bad_end_l8	Your wife, with her unborn child, has left you.													Istrimu, beserta anak dalam kandungannya,<br>pergi meninggalkanmu.														
good_end_l1	Against all odds, your Warmindo becomes a success.													Mengalahkan kemustahilan, Warmindomu akhirnya sukses.														
good_end_l2	Slowly but surely, the money starts to come in.													Perlahan tapi pasti, pendapatan mulai masuk.														
good_end_l3	It's not glamorous, but it's enough<br>to keep your head above water.													Tidak mewah, tapi cukup untuk hidup.														
good_end_l4	Your wife, your child, and you'working side by side in<br>your humble Warmindo, day after day.													Istrimu, anakmu, dan kau... Saling membantu di<br>Warmindo sederhana itu hari ke hari.														
good_end_l5	Through long hours, hard work, and unwavering love,<br>you build a life together.													Melawati banyak waktu, kerja keras, <br>dan cinta tak tergoyahkan.<br>Kalian membangun hidupmu bersama.														
good_end_l6	In the warmth of your little eatery,<br>surrounded by laughter,													Kehangatan dari warung kecilmu.<br>Dikelilingi oleh tawa														
good_end_l7	joy, and the scent of freshly made noodles,													kebahagiaan, dan aroma segar dari mie instant.														
good_end_l8	you realize that, no matter how tough life gets,													Kau menyadari, seberapa keras hidup yang kau jalani.														
good_end_l9	as long as you have each other, you've truly won.													Selama kau memiliki satu sama lain, kau telah menang.														
good_end_l10	And so, your journey continues.													Perjalananmu masih terus berlanjut.														
good_end_l11	From despair to hope, from struggle to triumph,													Dari keputusasaan menuju harapan,<br>dari perjuangan menuju kemenangan,														
good_end_l12	you've learned that sometimes,													Kau telah belajar bahwa,														
good_end_l13	the greatest treasures aren't the things you lose'													harta paling berharga bukan sesuatu yang telah hilang														
good_end_l14	but the love and strength you find in each other,													melainkan cinta dan kekuatan yang kau miliki satu sama lain														
good_end_l15	and what you're willing to create together.													dan sesuatu yang rela kalian ciptakan bersama.														
ending1_l1	Your Warmindo holds on, but it's still not enough.													Warmindomu berhasil bertahan,<br>tapi itu masih belum cukup.														
ending1_l2	You scrape by, barely making ends meet.													Kau hidup pas-pasan hampir<br>tak mampu memenuhi kebutuhan.														
ending1_l3	But when the day arrives for your child to be born,													Hingga waktu persalinan tiba.														
ending1_l4	you realize you've spent every last cent on medical bills.													Kau menyadari telah menggunakan<br>semua uangmu untuk biaya rumah sakit.														
ending1_l5	As you try to figure out how to make it through,													Selagi kau mencari jalan keluar.														
ending1_l6	the loan shark appears, demanding payment.													Sang rentenir datang, menagih hutangmu.														
ending1_l7	He drags you off to prison.													Dia menjebloskanmu ke penjara.														
ending1_l8	In the cold, lonely confines of your cell,													Di dalam jeruji besi yang dingin, kau merasa kesepian														
ending1_l9	you think back to all you've lost.													Kau meratapi semua hal yang telah diambil darimu.														
ending1_l10	But then, a surprise visit.													Tapi tiba-tiba ada sebuah kejutan.														
ending1_l11	Your wife and child stand before you,<br>their love still strong.													Istri dan anakmu datang mengunjungimu,<br>kasih sayang mereka masih kuat.														
ending1_l12	Though your future remains uncertain,<br>you know you're not truly alone.													Meski masa depanmu masih tidak pasti,<br>minimal kau tahu kalau kau tak sendirian.														
